Horizontal,Vertical,Time,Temperature,Degradation,RPM,Load
"[60441.34825308805, 32.53418043238795, 0.7666937150838228, 1.4821187399695477, 0.7147723204692283, 0.013017000000000004, 0.49931471709834474]","[6476.0563728956695, 23.286077490589925, 0.7717411929129535, -0.06756309335466604, 0.0008382813253040094, 0.008764000000000001, 0.20569877565022113]",0.0,53.77622,0.0,1650.0,4200.0
"[38890.204842674684, 32.53418043238795, 0.7744672493268843, 0.9515862295965345, 0.5175454948567495, 0.012971, 0.4998725159068059]","[7325.416952909031, 23.286077490589925, 0.7118119254094397, 0.21908221657031124, 0.06931962418323573, 0.006964999999999999, 0.2307650185253389]",0.03906,61.307970000000005,0.0003729814307884955,1650.0,4200.0
"[40871.39812851068, 33.267699740359916, 0.8175364880253518, 0.32444890847005636, 0.36245402273793204, -0.017473, 0.5036747355893484]","[8565.607581742157, 22.270529046352106, 0.8015441361092488, -0.04833705174691438, 0.05570874980459414, 0.008634000000000001, 0.24763702882242794]",0.07812,66.711076,0.0006767068878446968,1650.0,4200.0
"[76367.07741089042, 33.267699740359916, 0.7815716023428647, 1.0093728374999875, 0.565965246890675, 0.051494, 0.547163394210541]","[6953.014512966294, 22.772642910514104, 0.8316706887802111, -0.17718186973978822, -0.04835215926661547, 0.006728999999999999, 0.2294307206086404]",0.11719,70.60628,0.0009416107669477379,1650.0,4200.0
"[239710.32006999335, 123.96925780285828, 0.9112423738637336, 0.8544920761006507, 0.913203365539309, 0.12884499999999996, 0.6905341273065366]","[7126.035049586222, 24.34793550567121, 0.8103098111533351, -0.06873636941116334, -0.040930045924603906, 0.00013700000000000002, 0.22614629829161478]",0.15625,73.465362,0.0011818149793669669,1650.0,4200.0
"[435921.5364674262, 108.44676167571123, 0.9138602043742527, 0.7897605074588259, 1.0586581396552055, 0.037228999999999984, 0.7539164413640281]","[7950.884737799759, 48.599534553969654, 0.8019197971791374, -0.2041553230738602, -0.03539441062604583, 0.004633000000000002, 0.23393087506996593]",0.19531,75.67385200000001,0.0014045816183939758,1650.0,4200.0
"[348010.62201857654, 33.267699740359916, 0.8394631433115604, 1.9129581863551044, 1.0997633920623078, -0.08673900000000001, 0.6573133855924432]","[7812.107567031562, 46.48001993297304, 0.8261654578926805, -0.17754788946111866, -0.0735371286915154, 0.006937000000000001, 0.24314066511178256]",0.23438,77.453308,0.0016142908463057434,1650.0,4200.0
"[189767.12495516211, 33.267699740359916, 0.8174880873905628, 2.3719464745641563, 1.0753278218584343, -0.11874000000000001, 0.6305131532331423]","[7647.922835038643, 47.52796371402549, 0.8012570873779624, 0.04151285656902726, -0.11064005077454502, 0.004383, 0.24445511308009085]",0.27344,78.92194,0.001814213443887563,1650.0,4200.0
"[257704.40435043263, 31.81683448714817, 0.7326044056713982, 3.097442986659109, 1.3939440669720482, -0.10827, 0.6616640364263423]","[6997.937322286626, 47.52796371402549, 0.7623855681627945, 0.2625952879448943, -0.06202914043343419, 0.005298, 0.22640021023841828]",0.3125,80.19893400000001,0.002006831564853814,1650.0,4200.0
"[219865.24526900164, 32.53418043238795, 0.7216941907821978, 2.7307657304769837, 1.1059395347559857, -0.113608, 0.6245020050696395]","[6824.965218773866, 25.45821483364418, 0.729890762993479, 0.15099087751147122, 0.051217949771164735, 0.009346999999999998, 0.2169343508783245]",0.35156,81.35309600000001,0.0021936218497025485,1650.0,4200.0
